"id_medecin";"genre";"nom";"prenom";"telephone";"id_service"
"31";"male";"Camile";"Rivard";"04.16.28.30.67";"1"
"32";"female";"Ambra";"Bois";"01.31.34.85.96";"7"
"33";"male";"Guillaume";"Tachel";"02.13.03.54.12";"11"
"34";"male";"Roger";"Norbert";"04.62.97.70.93";"2"
"35";"male";"Normand";"Lafontaine";"05.22.85.82.26";"10"
"36";"female";"Madelene";"Turgeon";"05.47.11.99.39";"9"
"37";"female";"Cendrillon";"Vincent";"03.69.70.24.90";"6"
"38";"female";"Diane";"Garnier";"04.09.85.25.87";"8"
"39";"female";"Fran�oise";"Clement";"01.16.94.15.72";"1"
"40";"female";"Orva";"Daoust";"01.87.35.31.18";"1"
"41";"male";"Curtis";"Charest";"04.05.79.63.49";"2"
"42";"female";"Constance";"Chauvin";"01.98.32.69.46";"9"
"43";"male";"Burrell";"Collin";"01.25.18.38.50";"6"
"44";"female";"Suzette";"Austin";"01.12.04.97.63";"11"
"45";"female";"Susanne";"Beaudouin";"04.28.23.64.27";"4"
"46";"female";"Belle";"Fugaire";"01.06.01.83.12";"9"
"47";"female";"Sabine";"Jacques";"03.73.29.96.47";"1"
"48";"male";"Verney";"Babin";"05.23.47.35.55";"2"
"49";"male";"Marmion";"Brochu";"02.73.92.51.43";"7"
"50";"female";"Vignette";"Goguen";"01.83.24.76.38";"11"
"51";"female";"Cendrillon";"Lafontaine";"04.92.51.81.49";"9"
"52";"female";"Logistilla";"Tetrault";"03.17.44.22.45";"5"
"53";"male";"Moore";"Bachard";"01.85.23.67.22";"3"
"54";"female";"Delit";"Laprise";"01.48.97.26.11";"1"
"55";"male";"Clovis";"Monrency";"03.90.21.27.46";"9"
"56";"male";"Montague";"Lamothe";"04.69.78.44.38";"3"
"57";"male";"Curtis";"Aubat";"04.24.42.34.18";"10"
"58";"female";"Eleonore";"Beauchemin";"02.12.90.59.36";"11"
"59";"male";"Courtland";"Deserres";"04.50.09.12.64";"3"
"60";"male";"Matthieu";"Therrien";"01.31.65.49.06";"6"
"61";"female";"Vignette";"Douffet";"04.17.85.38.53";"3"
"62";"male";"Loyal";"Lamy";"02.10.73.40.37";"2"
"63";"female";"Gabrielle";"Phaneuf";"05.82.30.64.78";"3"
"64";"female";"Brier";"Pinette";"03.24.41.78.75";"1"
"65";"male";"Arber";"Drouin";"02.02.86.29.81";"4"
"66";"female";"Camille";"Margand";"04.07.30.17.01";"5"
"67";"male";"Eliot";"Danziel";"03.47.57.03.90";"2"
"68";"male";"Hugues";"Covillon";"01.36.77.05.90";"2"
"69";"male";"Searlas";"Lereau";"01.21.13.70.14";"11"
"70";"female";"Gabrielle";"Lacroix";"04.78.68.34.69";"7"
"71";"male";"Namo";"Moaise";"01.34.43.70.49";"8"
"72";"male";"Neville";"Laboissonniaire";"04.78.95.14.55";"2"
"73";"female";"Nathalie";"Brousse";"02.26.19.33.67";"1"
"74";"female";"Magnolia";"Valle";"04.56.35.35.52";"7"
"75";"male";"Loring";"Brisette";"03.39.41.40.00";"1"
"76";"male";"Leroy";"Deschaines";"05.33.76.70.61";"4"
"77";"female";"Ruby";"Alouard";"01.65.56.60.23";"2"
"78";"female";"Amabella";"Cantin";"01.62.28.91.13";"5"
"79";"female";"Fifi";"Talon";"03.32.31.44.84";"9"
"80";"female";"Antoinette";"Chabot";"01.71.35.40.95";"2"
"81";"male";"Alexandre";"Fluet";"02.53.08.38.90";"11"
"82";"female";"Laetitia";"Melanson";"03.20.95.49.81";"8"
"83";"female";"Galatee";"Paimboeuf";"03.30.66.12.84";"7"
"84";"female";"Jeanne";"Charbonneau";"04.85.83.98.21";"3"
"85";"male";"Bruce";"Bonami";"04.85.08.99.25";"8"
"86";"female";"Eulalie";"Deniger";"03.69.39.18.84";"1"
"87";"female";"Raina";"Lemaitre";"05.14.10.58.89";"10"
"88";"female";"Estelle";"Morneau";"04.88.37.93.02";"10"
"89";"female";"Emmeline";"Denis";"01.36.72.68.28";"4"
"90";"female";"Heloise";"Caisse";"02.52.57.27.67";"7"
"91";"female";"Genevieve";"Leclerc";"01.43.29.62.46";"9"
"92";"male";"Xavier";"Bussiaire";"03.76.84.97.17";"5"
"93";"female";"Zara";"Beauchesne";"05.71.94.98.31";"7"
"94";"female";"Noelle";"Lagrange";"01.76.05.44.11";"9"
"95";"female";"Josette";"Boucher";"05.79.18.67.53";"3"
"96";"male";"Karel";"Barrette";"03.97.89.52.03";"6"
"97";"male";"Robert";"Sauriol";"02.51.18.08.12";"2"
"98";"female";"Renee";"Jodoin";"02.65.19.25.96";"8"
"99";"male";"Francis";"Brousseau";"02.06.96.18.03";"5"
"100";"male";"Namo";"Josseaume";"01.29.73.00.92";"2"
